"ID";"参照記号";"パッケージ";"数";"名称";"Supplier and ref";
1;"D1,D2,D3,D4,D5";"DO35-7";5;"1N4148";;;
2;"DSS1";"EMIFILTER";1;"0.01u";;;
3;"DC+5V1,CONTROL1,KEY-IN1,LEFT-KEY1,RIGHT-KEY1,TO-AMP,FROM-AMP";"CON-JST-B02B-XASK-1";7;"CON-JST-XA-2";;;
4;"Q1";"TO220BV";1;"2SK4017";;;
5;"R1";"0207_7";1;"33";;;
6;"R2";"0207_7";1;"10K";;;
7;"RL1,RL2,RL3,RL4,RL5";"351";5;"941H-2C-5D";;;
8;"CN1-MICIN1,CN2-RIGHT1,CN3-LEFT1";"CON-JST-B08B-XASK-1";3;"CON-JST-XA-8";;;
9;"KEYPAD2,KEYPAD1";"1X02";2;"PINHD-1X2";;;
10;"R3,R4";"0207_7";2;"1.5k";;;
11;"R5";"0207_7";1;"2.2k";;;
12;"R6";"0207_7";1;"4.7k";;;
13;"OK1,OK2,OK3,OK4";"DIL04";4;"TLP222AF";;;
14;"TO-ARUDINO1,TO-KEYPADSW1";"CON-JST-B05B-XASK-1";2;"CON-JST-XA-5";;;
15;"R7,R8,R9,R10";"0207_7";4;"480";;;
16;"C1,C2,C3,C4,C5,C6,C7,C8,C9";"C025-030X050";9;"0.01";;;
17;"REF**,REF**,REF**,REF**";"MountingHole_3.2mm_M3";4;"MountingHole_3.2mm_M3";;;
